model_name,paper_title,bibtex_key,publication_year,publication_type,venue,authors,first_author,doi,doi_url,paper_url,github_repositories,github_repository_roles,other_code_repositories,categories,secondary_tags,summary,citation_count_openalex_2026_08_06,word_cloud_weight,task_context_transfer_status,task_context_transfer_evidence,task_unseen_genetic_status,task_unseen_genetic_evidence,task_unseen_chemical_status,task_unseen_chemical_evidence,task_genetic_combinations_status,task_genetic_combinations_evidence,task_genetic_combinations_datasets,task_chemical_combinations_status,task_chemical_combinations_evidence,task_chemical_combinations_datasets,scperturbench_context_transfer_evaluated,scperturbench_unseen_genetic_evaluated,scperturbench_unseen_chemical_evaluated,scperturbench_genetic_combinations_evaluated,scperturbench_chemical_combinations_evaluated,local_pdf_path,local_markdown_path,local_text_path,bibliography_source,paper_yaml_path,inventory_selection_rule,inventory_source_notebook
AdaPert,Learning Adaptive Perturbation-Conditioned Contexts for Robust Transcriptional Response Prediction,adaPert,2026,article,arXiv,"Piao, Yinhua and Kim, Hyomin and Kim, Seonghwan and Oh, Yunhak and Jeon, Junhyeok and Hwang, Sang-Yeon and Lim, Jaechang and Kim, Woo Youn and Park, Chanyoung and Ahn, Sungsoo","Piao, Yinhua",10.48550/arXiv.2602.18885,https://doi.org/10.48550/arXiv.2602.18885,https://doi.org/10.48550/arXiv.2602.18885,,,,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,not_established,Available local metadata does not establish this capability.,scope_only,"Paper addresses genetic perturbations, but local metadata does not establish held-out-perturbation evaluation.",not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/adaPert.pdf,metrics-db/extracted_markdown/adaPert.md,metrics-db/extracted_text/adaPert.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/adaPert.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
ALIGNED,Adaptive Data-Knowledge Alignment in Genetic Perturbation Prediction,aligned,2025,inproceedings,The Fourteenth International Conference on Learning Representations,"Xiang, Yuanfang and Ai, Lun","Xiang, Yuanfang",,,,https://github.com/yfxiang0112/Aligned,https://github.com/yfxiang0112/Aligned (reproducibility),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,not_established,Available local metadata does not establish this capability.,scope_only,"Paper addresses genetic perturbations, but local metadata does not establish held-out-perturbation evaluation.",not_established,Available local metadata does not establish this capability.,directly_evaluated,Paper evaluates unseen double-gene perturbations.,Norman2019,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/aligned.pdf,metrics-db/extracted_markdown/aligned.md,,metrics-db/bib/papers.bib,metrics-db/data/papers/aligned.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
AlphaCell,Towards Building a World Model to Simulate Perturbation-Induced Cellular Dynamics by AlphaCell,alphaCell,2026,article,bioRxiv,"Chuai, Guohui and Chen, Xiaohan and Yang, Xingbo and Zhang, Cheng and Qu, Kairu and Wang, Yiheng and Li, Wannian and Yang, Jingya and Si, Duanmiao and Xing, Feiyang and Gao, Yicheng and Wu, Siqi and Fu, Shaliu and He, Bing and Liu, Qi","Chuai, Guohui",10.64898/2026.03.02.709176,https://doi.org/10.64898/2026.03.02.709176,https://doi.org/10.64898/2026.03.02.709176,,,,model_paper,perturbation_response_modeling; single_cell_rna_seq,,4,2.60943791,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/alphaCell.pdf,metrics-db/extracted_markdown/alphaCell.md,metrics-db/extracted_text/alphaCell.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/alphaCell.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
Ambrosia,In Silico Design of Epigenetic Reprogramming Payloads,ambrosia,2025,inproceedings,ICML 2025 Generative AI and Biology (GenBio) Workshop,"Seninge, Lucas and Kummerlowe, Conner Samuel and Reynolds, David L. and Bernstein, Nicholas and Kimmel, Jacob C.","Seninge, Lucas",,,https://icml.cc/virtual/2025/workshop/39968,,,,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,directly_evaluated,Paper evaluates combinatorial transcription-factor payload prediction.,Norman2019; combinatorial TF reprogramming screen,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/ambrosia.pdf,metrics-db/extracted_markdown/ambrosia.md,metrics-db/extracted_text/ambrosia.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/ambrosia.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
ARTEMIS,"ARTEMIS Integrates Autoencoders and Schrödinger Bridges to Predict Continuous Dynamics of Gene Expression, Cell Population and Perturbation from Time-Series Single-Cell Data",artemis,2025,article,bioRxiv,"Alatkar, Sayali Anil and Wang, Daifeng","Alatkar, Sayali Anil",10.1101/2025.01.23.634618,https://doi.org/10.1101/2025.01.23.634618,https://doi.org/10.1101/2025.01.23.634618,https://github.com/daifengwanglab/ARTEMIS,https://github.com/daifengwanglab/ARTEMIS (official),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/artemis.pdf,metrics-db/extracted_markdown/artemis.md,metrics-db/extracted_text/artemis.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/artemis.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
AttentionPert,AttentionPert: Accurately Modeling Multiplexed Genetic Perturbations with Multi-Scale Effects,attentionPert,2024,article,Bioinformatics,"Bai, Ding and Ellington, Caleb N and Mo, Shentong and Song, Le and Xing, Eric P","Bai, Ding",10.1093/bioinformatics/btae244,https://doi.org/10.1093/bioinformatics/btae244,https://doi.org/10.1093/bioinformatics/btae244,https://github.com/BaiDing1234/AttentionPert,https://github.com/BaiDing1234/AttentionPert (official|primary),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,14,3.7080502,not_established,Available local metadata does not establish this capability.,benchmark_evaluated,Evaluated on unseen genetic perturbations in scPerturBench.,not_established,Available local metadata does not establish this capability.,benchmark_evaluated,"Paper evaluates seen-2, seen-1, and seen-0 two-gene prediction. Also evaluated across four genetic-combination datasets in scPerturBench.",Norman2019; Wessels2023; Schmidt; Replogle2020,not_established,Available local metadata does not establish this capability.,,False,True,False,True,False,metrics-db/pdfs/attentionPert.pdf,metrics-db/extracted_markdown/attentionPert.md,,metrics-db/bib/papers.bib,metrics-db/data/papers/attentionPert.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
Biolord,Disentanglement of Single-Cell Data with Biolord,biolord,2024,article,Nature Biotechnology,"Piran, Zoe and Cohen, Niv and Hoshen, Yedid and Nitzan, Mor","Piran, Zoe",10.1038/s41587-023-02079-x,https://doi.org/10.1038/s41587-023-02079-x,https://doi.org/10.1038/s41587-023-02079-x,https://github.com/nitzanlab/biolord; https://github.com/nitzanlab/biolord_reproducibility,https://github.com/nitzanlab/biolord (official); https://github.com/nitzanlab/biolord_reproducibility (reproducibility),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,68,5.2341065,benchmark_evaluated,Evaluated in the cellular-context generalization scenario of scPerturBench.,benchmark_evaluated,Evaluated on unseen genetic perturbations in scPerturBench.,benchmark_evaluated,Evaluated on unseen chemical perturbations in scPerturBench.,benchmark_evaluated,"Paper evaluates two-gene perturbations with zero, one, or two component genes unseen. Also evaluated across four genetic-combination datasets in scPerturBench.",Norman2019; Wessels2023; Schmidt; Replogle2020,not_established,Available local metadata does not establish this capability.,,True,True,True,True,False,metrics-db/pdfs/biolord.pdf,metrics-db/extracted_markdown/biolord.md,,metrics-db/bib/papers.bib,metrics-db/data/papers/biolord.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
C3TL,Causal Cellular Context Transfer Learning (C3TL): An Efficient Architecture for Prediction of Unseen Perturbation Effects,c3tl,2026,article,arXiv,"Scholkemper, Michael and Mukherjee, Sach","Scholkemper, Michael",10.48550/arXiv.2603.13051,https://doi.org/10.48550/arXiv.2603.13051,https://doi.org/10.48550/arXiv.2603.13051,,,,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,explicit_paper_claim,Title explicitly defines a cellular-context transfer-learning task.,scope_only,"Paper addresses genetic perturbations, but local metadata does not establish held-out-perturbation evaluation.",not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/c3tl.pdf,metrics-db/extracted_markdown/c3tl.md,metrics-db/extracted_text/c3tl.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/c3tl.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
CellFlow,CellFlow Enables Generative Single-Cell Phenotype Modeling with Flow Matching,cellflow,2025,article,bioRxiv,"Klein, Dominik and Fleck, Jonas Simon and Bobrovskiy, Daniil and Zimmermann, Lea and Becker, Sören and Palma, Alessandro and Dony, Leander and Tejada-Lapuerta, Alejandro and others and Sanch\'is-Calleja, F\'atima and Uscidda, Theo and Szalata, Artur and Gander, Manuel and Regev, Aviv and Treutlein, Barbara and Camp, J. Gray and Theis, Fabian J.","Klein, Dominik",10.1101/2025.04.11.648220,https://doi.org/10.1101/2025.04.11.648220,https://doi.org/10.1101/2025.04.11.648220,https://github.com/theislab/cellflow; https://github.com/theislab/cellflow_reproducibility,https://github.com/theislab/cellflow (primary); https://github.com/theislab/cellflow_reproducibility (reproducibility),,model_paper,perturbation_response_modeling; single_cell_rna_seq; bulk_rna_seq; cell_imaging,Good stress test for population metrics evaluated in PCA space.,36,4.61091791,not_established,Available local metadata does not establish this capability.,scope_only,"Paper addresses genetic perturbations, but local metadata does not establish held-out-perturbation evaluation.",not_established,Available local metadata does not establish this capability.,directly_evaluated,"Paper evaluates held-out gene combinations, including combinations with unseen component genes.",Norman2019,directly_evaluated,Paper predicts held-out drug combinations whose components occur in other training combinations.,comboSciPlex,False,False,False,False,False,metrics-db/pdfs/cellflow.pdf,metrics-db/extracted_markdown/cellflow.md,metrics-db/extracted_text/cellflow.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/cellflow.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
CellOT,Learning Single-Cell Perturbation Responses Using Neural Optimal Transport,cellot,2023,article,Nature Methods,"Bunne, Charlotte and Stark, Stefan G. and Gut, Gabriele and Del Castillo, Jacobo Sarabia and Levesque, Mitch and Lehmann, Kjong-Van and Pelkmans, Lucas and Krause, Andreas and Rätsch, Gunnar","Bunne, Charlotte",10.1038/s41592-023-01969-x,https://doi.org/10.1038/s41592-023-01969-x,https://doi.org/10.1038/s41592-023-01969-x,,,,model_paper,perturbation_response_modeling; single_cell_rna_seq; cell_imaging,,179,6.19295685,benchmark_evaluated,Evaluated in the cellular-context generalization scenario of scPerturBench.,not_established,Available local metadata does not establish this capability.,scope_only,"Paper addresses chemical perturbations, but local metadata does not establish held-out-perturbation evaluation.",not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,True,False,False,False,False,metrics-db/pdfs/cellot.pdf,metrics-db/extracted_markdown/cellot.md,metrics-db/extracted_text/cellot.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/cellot.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
